City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
308,Poum,NC,-20.2333,164.0167,82.11,70,55,9.73,broken clouds
309,Port Hawkesbury,CA,45.6169,-61.3485,16.59,87,100,1.99,overcast clouds
310,Trenggalek,ID,-8.05,111.7167,78.98,89,100,1.16,overcast clouds
311,Victor Harbor,AU,-35.5667,138.6167,62.01,65,62,1.99,light rain
312,Vanino,RU,49.0869,140.2543,0.18,97,100,1.1,overcast clouds
313,Aswan,EG,24.0934,32.907,56.5,47,0,6.91,clear sky
314,Plettenberg Bay,ZA,-34.0527,23.3716,72.39,61,15,4.14,few clouds
315,Lumeje,AO,-11.55,20.7833,64.31,96,100,3.51,light rain
316,Port Moresby,PG,-9.4431,147.1797,87.22,66,40,14.97,scattered clouds
317,Salto,UY,-31.3833,-57.9667,78.87,74,95,8.01,overcast clouds
318,Lasa,IT,46.6166,10.7002,36.48,91,64,7.78,broken clouds
319,Stokmarknes,NO,68.5646,14.9108,31.96,86,20,5.75,few clouds
320,Ridgecrest,US,35.6225,-117.6709,37.26,41,0,6.91,clear sky
321,Bathurst,AU,-33.4166,149.5806,84.83,32,12,1.99,few clouds
322,Wanning,CN,18.8003,110.3967,73.36,85,100,7.34,overcast clouds
323,Barranca,PE,-10.75,-77.7667,69.89,86,99,4.81,overcast clouds
324,Yanam,IN,16.7333,82.2167,86.67,35,8,9.4,clear sky
325,Takoradi,GH,4.8845,-1.7554,81.05,79,0,4.36,clear sky
326,Port Hedland,AU,-20.3167,118.5667,88.72,62,1,11.39,clear sky
327,Ambon,ID,-3.6954,128.1814,91.54,58,20,9.22,few clouds
328,Isangel,VU,-19.55,169.2667,80.91,83,26,6.93,scattered clouds
329,Gornopravdinsk,RU,60.05,69.9,22.77,94,85,4.97,overcast clouds
330,Kiunga,PG,-6.1219,141.2906,77.45,90,100,1.45,moderate rain
331,Bongandanga,CD,1.5,21.05,87.6,44,60,3.94,broken clouds
332,Abalak,RU,58.1286,68.5944,23.92,89,65,4.43,broken clouds
333,Klaksvik,FO,62.2266,-6.589,38.32,72,100,19.91,overcast clouds
334,Cockburn Town,TC,21.4612,-71.1419,77.36,66,0,18.48,clear sky
335,Ulladulla,AU,-35.35,150.4667,82.26,40,35,7.16,scattered clouds
336,Turukhansk,RU,65.8167,87.9833,11.26,95,100,8.77,light snow
337,Luau,AO,-10.7073,22.2247,67.23,91,99,4.76,overcast clouds
338,Ostrovnoy,RU,68.0531,39.5131,19.35,91,84,23.42,broken clouds
339,Salym,RU,60.0625,71.4789,22.28,95,97,4.23,overcast clouds
340,Terra Rica,BR,-22.7094,-52.6169,69.71,94,27,3.09,scattered clouds
341,Soyo,AO,-6.1349,12.3689,81.54,69,33,2.06,scattered clouds
342,Navrongo,GH,10.8956,-1.0921,80.19,12,77,7.74,broken clouds
343,Laguna,US,38.421,-121.4238,50.09,81,0,4.61,clear sky
344,Khatanga,RU,71.9667,102.5,-17.21,98,100,5.41,overcast clouds
345,Manacor,ES,39.5696,3.2096,42.51,74,0,3.44,clear sky
346,Mortka,RU,59.3322,66.0214,27.52,90,56,5.53,broken clouds
347,Ribeira Grande,PT,38.5167,-28.7,55.8,71,20,6.91,few clouds
348,Awbari,LY,26.5921,12.7805,50.31,43,100,12.28,overcast clouds
